,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
34283,0fjA6,6k1/6pp/p2qp3/8/2Q5/2P4P/Pr4P1/5R1K b - - 0 26,d6d5 c4c8 d5d8 c8d8,770,76,98,1092,endgame mate mateIn2 short,https://lichess.org/iVhT58zV/black#52,
34286,0fjGJ,3rkr2/1Qpb4/p1B1pq2/7p/3P2p1/B1P3P1/P2N1nKP/R4R2 w - - 2 24,d2e4 f6f3 g2g1 f2h3,1293,77,92,811,mate mateIn2 middlegame short,https://lichess.org/zpmoSsS2#47,
34292,0fjWx,r1bq1rk1/ppp2pp1/2nbpn1p/8/3PNB2/2PQ1N2/PPB2PPP/R4RK1 b - - 3 12,d6f4 e4f6 d8f6 d3h7,824,95,92,1288,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/6dhWTwGt/black#24,Nimzowitsch_Defense Nimzowitsch_Defense_Mikenas_Variation
34294,0fjiv,3r1k2/pp2qpp1/6np/1Q6/2P5/1P6/P4PPP/4R1K1 w - - 3 27,e1e7 d8d1 e7e1 d1e1,695,92,76,81,backRankMate endgame mate mateIn2 short,https://lichess.org/HCBVHuv4#53,
34298,0fjtV,8/8/1p6/p1pPRN1k/P1P1P1p1/1P2K1R1/8/4q3 w - - 1 52,e3f4 e1f2 g3f3 f2f3,1615,75,95,3708,endgame mate mateIn2 short,https://lichess.org/Yjg7YwHf#103,
34302,0fkDU,2k1r2r/2Pb2p1/pR1p4/3P3p/4PP1n/4Q3/4N2K/4q3 b - - 1 30,e1a5 b6b8 c8c7 e3a7,1390,142,83,12,mate mateIn2 middlegame queensideAttack short,https://lichess.org/TXFa4ZXD/black#60,
34308,0fkjc,2R5/p2rkp2/1p2pp1p/8/4Q3/4pP2/PP1q2PP/2R3K1 w - - 2 29,c8c2 d2d1 c1d1 d7d1,1589,76,100,799,endgame mate mateIn2 sacrifice short,https://lichess.org/0CcZ5kvK#57,
34314,0fl8g,7k/2q5/1r1p2P1/7p/8/1N5Q/PK3r2/3R3R w - - 3 33,b2b1 c7c2 b1a1 c2a2,1176,88,60,37,mate mateIn2 middlegame short,https://lichess.org/78fOHvqm#65,
34329,0flna,5r2/p2q1rk1/7p/P2p3Q/1P1N2p1/2P3Pb/7P/3RR1K1 w - - 0 46,e1e6 f7f1 d1f1 f8f1,914,75,97,874,mate mateIn2 middlegame short,https://lichess.org/wP9Qjonr#91,
34332,0fmQ8,r3nr1k/4N1pp/p2p1p2/4nR2/1p2P3/7Q/Pq2B1PP/4R2K b - - 3 23,b2c3 h3h7 h8h7 f5h5,1461,88,87,477,anastasiaMate attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/eiiYr74B/black#46,
34336,0fmeN,r1b2rk1/1p3pbp/p3p1p1/q1p5/1n2N3/1P4Q1/1BPPB1PP/1K1R2NR w - - 0 17,b2g7 a5a2 b1c1 a2c2,1452,75,82,617,mate mateIn2 middlegame queensideAttack short,https://lichess.org/GyBiStuK#33,Sicilian_Defense Sicilian_Defense_Other_variations
34353,0fnTp,2kr4/pp1r2p1/2R1Qp2/7p/1b1q4/6BP/PP4P1/5R1K b - - 0 23,b7c6 e6c6 d7c7 c6c7,1314,75,95,5673,mate mateIn2 middlegame queensideAttack short,https://lichess.org/9ENccbsp/black#46,
34354,0fnUg,3r2kr/5pp1/1RQB4/3PP2p/3n1qn1/5N2/4RPPP/6K1 w - - 1 29,f3d4 f4h2 g1f1 h2h1,1654,74,84,197,mate mateIn2 middlegame short,https://lichess.org/IVWTX0vI#57,
34386,0fpT0,5bk1/p1B2p1p/5q2/6p1/3p2b1/3P1BP1/r4P1P/1R1Q2K1 w - - 2 29,f3g4 f6f2 g1h1 f2h2,832,77,100,71,mate mateIn2 middlegame short,https://lichess.org/qJrimHiA#57,
34406,0frKg,7k/p7/7p/P2b4/2pPB2Q/2P3P1/1r3q1P/R5K1 w - - 0 31,g1h1 d5e4 h4e4 f2h2,1413,90,92,49,endgame mate mateIn2 short,https://lichess.org/r2r3IFMX#61,
34410,0frUH,3r4/1q6/p2KP2p/1pp4k/4B1p1/2P5/PP6/R1Q1R3 w - - 1 34,d6e5 b7c7 e5f6 d8f8,1967,75,95,207,endgame mate mateIn2 short,https://lichess.org/jhJfa2Gu#67,
34412,0frpx,r4rk1/p1p2ppp/2pb4/7q/4Nn2/1P1P1b2/PBP2PPP/R2Q1RK1 w - - 0 14,d1f3 f4e2 g1h1 h5h2,1338,75,87,244,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/X4DUyidn#27,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation
34422,0fs8f,r3rk1Q/2p2pb1/2q1p1p1/pp2P1B1/1n1PN3/1P3N2/1PP3P1/2KR3R b - - 5 23,g7h8 h1h8 f8g7 g5f6,1440,126,82,10,master mate mateIn2 middlegame short,https://lichess.org/4MezLXOJ/black#46,
34423,0fsAm,5r2/ppQn3p/6pk/3B1q2/3B4/3P2Pb/PPP4P/4R1K1 w - - 5 24,c7b7 f5f1 e1f1 f8f1,1210,75,97,8842,mate mateIn2 middlegame sacrifice short,https://lichess.org/wqUXQqbJ#47,
34439,0ftFY,2r3k1/4pR1p/p5p1/1p6/8/1B2q1nP/PB4PK/8 b - - 0 37,e3e2 f7g7 g8h8 g7g8,2175,90,91,646,doubleCheck endgame mate mateIn2 short,https://lichess.org/z5y0gTOJ/black#74,
34444,0ftVb,r6k/4r2P/pqp5/8/2p5/2p5/P1P4Q/K2R2NR w - - 1 27,d1b1 b6b1 a1b1 e7e1,1849,78,79,265,attraction mate mateIn2 middlegame sacrifice short,https://lichess.org/U97tfsMH#53,
34447,0ftdK,2k5/1pp4r/4pB2/1q1p1p2/3P1P2/pPQ1P3/PnP5/1K5R w - - 0 29,h1h7 b5f1 c3e1 f1e1,953,77,90,115,endgame mate mateIn2 short,https://lichess.org/RSUbvqDn#57,
34453,0ftyP,1r3kr1/p3b3/5p1B/1Pp2P2/P1P5/5Q2/2K4P/q7 b - - 1 29,f8f7 f3h5 g8g6 h5g6,2024,76,92,3226,endgame mate mateIn2 short,https://lichess.org/WvwZYvId/black#58,
34462,0fulp,1r4k1/2pp1ppp/8/3P4/3NPRP1/2Nb4/PrR4P/3K4 w - - 5 26,c2d2 b2b1 c3b1 b8b1,1361,76,84,345,mate mateIn2 middlegame sacrifice short,https://lichess.org/AhlxXhoe#51,
34468,0fvE0,5r1k/p1p3pb/2p2N2/b5B1/2BP2PQ/2P5/PP4KP/1q6 b - - 2 23,g7f6 g5f6 f8f6 h4f6,761,77,100,84,mate mateIn2 middlegame short,https://lichess.org/9jpqwtnB/black#46,
34472,0fvRw,5B2/2p5/4P3/3p4/3k1P2/6P1/1r1r1n1P/Q3R2K w - - 1 56,h1g1 f2h3 g1f1 d2f2,901,77,94,798,endgame mate mateIn2 short,https://lichess.org/V5ta2gkr#111,
34477,0fvqd,7r/1p1k2p1/2pp3q/Q1n1p3/4P3/BP3PN1/P1P3Pr/3R1RK1 w - - 11 27,a3c5 h2g2 g1g2 h6h2,1780,78,83,241,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/6RLSNkeh#53,
34483,0fwFV,5r2/pp4kR/2p5/2P1qpP1/4b3/1BP4P/PP3QP1/6K1 b - - 1 31,g7h7 f2h4 h7g6 h4h6,986,77,90,303,endgame mate mateIn2 short,https://lichess.org/T33IUiO8/black#62,
34487,0fwXI,6k1/3r1ppp/4b2q/p4B2/P4R2/5Q1P/5PP1/6K1 b - - 1 30,e6f5 f3a8 d7d8 a8d8,917,85,96,2561,backRankMate endgame mate mateIn2 short,https://lichess.org/dLve2yFV/black#60,
34493,0fxB1,Rn3rk1/6pp/1q2p3/1p2N3/4P3/1Q6/1P3bPP/5RK1 w - - 0 19,f1f2 b6f2 g1h1 f2e1,851,93,95,543,backRankMate mate mateIn2 middlegame short,https://lichess.org/IOrgo30B#37,Queens_Gambit_Accepted Queens_Gambit_Accepted_Other_variations
34496,0fxOO,r4k2/p2nb3/1p3nQp/3q2P1/8/P1p1P1R1/1P2BP2/2K3R1 w - - 0 29,g5f6 d5d2 c1b1 d2b2,1349,76,90,496,fork mate mateIn2 middlegame short,https://lichess.org/sdS50OAX#57,
34501,0fxug,r2bk2r/1q6/p2P1p2/2N1pb2/1P4p1/P5Pp/3QnP1P/R1BR3K w kq - 0 26,c5b7 f5e4 f2f3 e4f3,1319,75,75,181,fork mate mateIn2 middlegame short,https://lichess.org/onf4h4PK#51,
34502,0fxzG,4r2k/p5p1/6rp/8/2QP4/P4q2/1PR3PP/3N3K w - - 0 43,g2f3 e8e1 c4f1 e1f1,695,98,91,646,endgame fork mate mateIn2 short,https://lichess.org/0J5X4Lo0#85,
34506,0fyCS,6k1/p4p2/5Q2/n1p3pp/P7/B1P2P2/3q1KPP/1B6 w - - 3 31,f2g3 d2e1 g3h3 e1h4,1811,79,51,52,endgame fork mate mateIn2 short,https://lichess.org/GIR2y6yD#61,
34516,0fytg,6k1/pp2rppp/8/3p2q1/3P1nP1/P4PQ1/1P6/R2B2K1 b - - 0 28,f4d3 g3b8 e7e8 b8e8,873,87,16,77,endgame mate mateIn2 short,https://lichess.org/2OSvx6Nm/black#56,
34531,0fzya,3r2k1/2R3p1/5p1p/4pP1Q/1pP1P3/4q2P/6PK/8 b - - 4 32,e3e4 h5f7 g8h8 f7g7,874,75,95,427,endgame master mate mateIn2 short,https://lichess.org/irKWNM4H/black#64,
34537,0g0jP,r1b2rk1/ppp1n1pp/3b1q2/8/1nNp4/1P1N2P1/PBPPP1BP/R2QK2R w KQ - 7 12,c4d6 b4d3 c2d3 f6f2,1497,75,96,5164,mate mateIn2 opening short,https://lichess.org/WiyU9NHh#23,Bird_Opening Bird_Opening_Other_variations
34564,0g2de,Qkbr4/4qp2/1p1p1n2/2pPn3/2P1p1P1/R1P1P1Br/P2NBP2/K7 b - - 1 29,b8c7 a3a7 c8b7 a8b7,1315,75,90,1620,master mate mateIn2 middlegame short,https://lichess.org/q1EU0dmI/black#58,
34571,0g2yo,5r1k/p1R3pB/1p3r2/1P5p/P1P5/4q3/2Q3PP/5R1K w - - 3 29,f1f6 e3e1 f6f1 e1f1,937,76,96,1059,endgame mate mateIn2 short,https://lichess.org/0AIUIa5v#57,
34580,0g3Mr,2kr3r/1pp1bN2/p7/8/6pp/2p1R3/PP3PPP/R1B3K1 w - - 0 28,f7h8 d8d1 e3e1 d1e1,1173,78,73,256,backRankMate endgame mate mateIn2 short,https://lichess.org/bCaKryq1#55,
34592,0g443,r3kb1r/1p2n1pp/p2PQp2/2p5/8/2N1P3/P2q1PPP/R2R2K1 b kq - 1 18,d2c3 d6d7 e8d8 e6b6,1245,76,96,18243,advancedPawn mate mateIn2 middlegame short,https://lichess.org/MMfpBgaD/black#36,Horwitz_Defense Horwitz_Defense_Other_variations
34602,0g4by,4r1k1/1b4pp/1p4qr/4BR2/pPp5/P5P1/5Q1P/5RK1 b - - 1 31,g6c6 f5f8 e8f8 f2f8,596,95,86,242,mate mateIn2 middlegame short,https://lichess.org/2LNFEggW/black#62,
34606,0g4w1,1r5k/5prp/pq1p3R/2p1nB1Q/1p2P2P/2PP2P1/PP4K1/3R4 b - - 2 29,b4c3 h6h7 g7h7 h5h7,1145,77,87,144,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/JKbKouBe/black#58,
34621,0g6mo,1r4k1/5ppp/8/2Np4/pp1P2n1/5qP1/4QP2/4R1K1 b - - 1 32,f3f5 e2e8 b8e8 e1e8,687,84,81,124,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/M9WKMKI4/black#64,
34641,0g87X,r2q2k1/1p3p1p/p5p1/2P3N1/1p6/1Q6/P4PPP/4b1K1 b - - 1 21,e1c3 b3f7 g8h8 f7h7,999,83,93,229,endgame mate mateIn2 short,https://lichess.org/PF9Qn040/black#42,
34649,0g8NL,5r1k/7p/P2p3q/1QpP4/3b4/6P1/1P4rP/1R2R2K w - - 0 33,h1g2 f8f2 g2h1 f2h2,1107,79,95,6297,endgame mate mateIn2 short,https://lichess.org/WndmUyFh#65,
34654,0g8Xk,2r5/p2R1p2/6k1/3p1Rp1/3P2P1/2P2K2/r7/8 w - - 5 37,d7d5 c8c3 f3e4 a2e2,1106,93,71,66,endgame mate mateIn2 rookEndgame short,https://lichess.org/2gV5pzk0#73,
34655,0g8lT,5Qk1/pp4pp/2p3p1/4R3/8/4R2P/Pq3PK1/8 b - - 0 29,g8f8 e3f3 f8g8 e5e8,1377,75,71,451,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/d2sg7qES/black#58,
34663,0g99c,4r3/6kp/3p2p1/3B1p2/1qP2P2/1P2r2P/P5Q1/R2K3R w - - 4 31,g2c2 e3e1 h1e1 b4e1,1273,80,50,95,mate mateIn2 middlegame short,https://lichess.org/pMEtzeaN#61,
34666,0g9Pj,4r1k1/5ppp/2p5/p2p3n/8/5PN1/PPPq2PP/3R3K w - - 0 24,d1d2 e8e1 g3f1 e1f1,630,96,89,280,backRankMate endgame mate mateIn2 short,https://lichess.org/ohJM6Bjs#47,
34671,0g9oT,r2q2k1/pp1n1p2/1b2r3/4p1NQ/3nN3/3P4/PPP2PPP/R4RK1 b - - 4 18,e6g6 h5h7 g8f8 h7f7,1290,128,71,27,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/7v4s8P4M/black#36,Four_Knights_Game Four_Knights_Game_Italian_Variation
34676,0gA3p,2b3k1/5rpp/p1p3r1/1pP3q1/3P1p2/1P3QNP/P4PP1/3RRK2 b - - 2 30,f4g3 e1e8 f7f8 f3f8,1113,79,78,185,fork mate mateIn2 middlegame short,https://lichess.org/3vf6Oku1/black#60,
34678,0gA7p,4r1k1/1p3ppb/p2p3p/Pp1P1P2/1P2Q1P1/7P/N5K1/2R5 b - - 0 32,e8e4 c1c8 e4e8 c8e8,713,89,58,67,backRankMate endgame mate mateIn2 short,https://lichess.org/GIioV4gg/black#64,
34680,0gAA6,2b2r2/2r2p1k/5R1p/3pP3/1p1P2qP/2p5/PPQ3P1/5R1K b - - 1 31,h7h8 f6h6 h8g7 c2h7,1197,75,93,1097,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/febt5uLs/black#62,
34681,0gAAm,6kB/3q4/2p3pp/3p4/4bP2/2Q4P/P5P1/4R2K w - - 2 40,c3f6 d7h3 h1g1 h3g2,1325,160,71,22,endgame mate mateIn2 pin short,https://lichess.org/0kUKnBNR#79,
34687,0gAdJ,r4rk1/b4pp1/p1p4p/4P3/NP1p1R1q/P7/2b3PP/R1BQ3K w - - 0 20,d1c2 h4e1 f4f1 e1f1,669,96,78,565,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/QfgqDA6L#39,
34689,0gAkg,r4rk1/5pb1/1q5p/5Qp1/3pN3/3B3P/bPP3P1/R3B2K b - - 5 24,a2e6 e4f6 g7f6 f5h7,1171,75,98,9869,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/1D3g5W9X/black#48,
34690,0gAsb,6k1/1p3p1p/5Rp1/3Q4/8/7P/p5PK/4r3 b - - 1 33,a2a1q d5f7 g8h8 f7f8,1315,75,97,13877,endgame mate mateIn2 short,https://lichess.org/EEg2Djz0/black#66,
34692,0gAwb,k4rr1/b1Rb3p/Q3p3/1p1PP3/8/1P6/P5qP/6RK w - - 0 32,g1g2 f8f1 g2g1 f1g1,671,84,87,333,mate mateIn2 middlegame short,https://lichess.org/Ilmz9gto#63,
34701,0gBHZ,7k/pp2n3/3NB2p/2pPp3/2P1P2b/1N5P/PPK3R1/3b1r2 w - - 2 33,c2c3 h4e1 b3d2 f1f3,1684,74,83,245,mate mateIn2 middlegame pin short,https://lichess.org/gnE637yZ#65,
34703,0gBO0,2r1k3/2r2p2/p3p3/1b1pPp2/1Q3P2/1RP1KB2/q7/6R1 b - - 3 39,a2b3 g1g8 e8d7 b4d6,1614,75,100,582,mate mateIn2 middlegame short,https://lichess.org/SYOYe6nb/black#78,
34727,0gCzo,2kr4/pppqb2n/8/4Q3/6b1/2NB4/PPP2PPP/R1B1K2R w KQ - 3 15,d3h7 d7d1 c3d1 d8d1,948,81,96,7362,mate mateIn2 middlegame sacrifice short,https://lichess.org/XuIH0jQO#29,Philidor_Defense Philidor_Defense_Hanham_Variation
34732,0gE0G,8/7R/p1rkq1p1/1p1p4/5Q2/1P6/P1r3P1/6K1 b - - 9 40,d6c5 b3b4 c5b6 f4b8,1893,114,86,69,endgame mate mateIn2 short,https://lichess.org/MsmPWdFS/black#80,
34736,0gENV,2rB4/5p2/2b2kp1/2P4p/3R3P/6R1/5rPK/8 b - - 1 46,f6f5 g3g5 f5e6 d4d6,1359,75,97,2348,endgame mate mateIn2 short,https://lichess.org/MZBMdskI/black#92,
34745,0gFbK,2r1r1k1/pp3ppp/4b3/6q1/1P6/P2BR3/5PPP/3RQ1K1 b - - 6 22,e6d5 e3e8 c8e8 e1e8,773,89,79,132,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/MHRBD2JV/black#44,
34746,0gFdw,rn2r1k1/pb1q3p/6pB/1p1Pbp2/2p1N3/5Q2/PPB3PP/3R1R1K b - - 3 19,f5e4 f3f8 e8f8 f1f8,927,78,88,767,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/4ZNumJ3z/black#38,Pirc_Defense Pirc_Defense_Other_variations
34749,0gFqd,rn1q4/4nkbp/3p2pB/1bp5/p2PP3/P4Q2/1PP3PP/R4RK1 b - - 1 17,f7g8 f3f7 g8h8 f7g7,1136,75,93,833,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/HvBkrgcz/black#34,Vienna_Game Vienna_Game_Other_variations
34751,0gFsQ,2k1r3/ppp4b/2p1q2N/6p1/2PP4/1P6/PB3PPP/R2Q2K1 w - - 1 23,d1e1 e6e1 a1e1 e8e1,674,108,71,126,backRankMate mate mateIn2 middlegame short,https://lichess.org/2M2JFkOZ#45,
34764,0gGZM,k6r/pp6/5p2/8/2PQ4/4P1P1/P1q3P1/R3KR1r w - - 8 33,a1d1 h1f1 e1f1 h8h1,1207,75,97,11695,attraction endgame mate mateIn2 short,https://lichess.org/PvULVoAV#65,
34771,0gH1g,8/p5rk/7p/4pq2/8/2PR1P2/PPQ5/1K6 w - - 3 34,d3d2 g7g1 d2d1 g1d1,1173,81,93,358,endgame mate mateIn2 pin short,https://lichess.org/sVhJiWpU#67,
34794,0gIvv,r1b5/5kp1/p3qbr1/1p1R4/4p3/1Q6/P4PPP/3R2K1 b - - 1 25,e6g4 d5d7 f7e8 b3f7,1854,74,90,1071,doubleCheck mate mateIn2 middlegame short,https://lichess.org/xm12aAnV/black#50,
34798,0gJCL,2kr1b1r/pp3ppp/2p5/4P3/1n3P2/2K5/PP3BPP/RN5R w - - 0 16,g2g3 d8d3 c3c4 b7b5,1232,75,98,6660,mate mateIn2 middlegame short,https://lichess.org/Re3xy4Fv#31,Russian_Game Russian_Game_Damiano_Variation
34806,0gJbG,5r1k/1p4pp/2nQ4/p7/4R3/2P2N1P/1Pq3P1/5K2 b - - 2 28,f8d8 d6d8 c6d8 e4e8,1275,75,90,368,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/h6pwkHpg/black#56,
34807,0gJe5,r5k1/2q3r1/3p4/3P1Q2/2P1R3/pp6/6P1/4R2K b - - 0 35,a3a2 e4e8 a8e8 e1e8,699,78,98,1362,endgame mate mateIn2 short,https://lichess.org/E4a8Ejag/black#70,
34812,0gK5e,6k1/pR6/2P3Kp/4p1p1/1P3rP1/P4r2/7P/R7 w - - 4 34,c6c7 f4f6 g6h5 f3h3,822,81,88,86,endgame mate mateIn2 rookEndgame short,https://lichess.org/wQYCzDc5#67,
34816,0gKGq,8/Q7/1p2pkp1/1P1p4/1q1P1PP1/p3PK2/8/8 b - - 2 42,b4b5 g4g5 f6f5 a7f7,1157,76,87,382,endgame mate mateIn2 queenEndgame short,https://lichess.org/xo0Goixa/black#84,
34824,0gLI4,6rk/p6p/3pQq1R/2pPb3/4p3/P3B3/1P3P2/5K2 b - - 2 28,f6f3 h6h7 h8h7 e6h6,1311,74,74,356,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/jHDWzac0/black#56,
34828,0gLb1,2r4k/p4Qpp/bp2R3/3p2pB/3P4/4RKP1/2r2P1P/5q2 b - - 4 33,c8g8 f7g8 h8g8 e6e8,1425,75,89,870,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/bxMFJtnG/black#66,
34839,0gMcY,r1b1r1k1/ppp2ppp/2n5/3Q4/5P2/8/PPPRB2q/2K1R3 b - - 0 15,e8d8 d5d8 c6d8 d2d8,633,91,99,900,backRankMate mate mateIn2 middlegame short,https://lichess.org/xMznTGkH/black#30,Center_Game Center_Game_Hall_Variation
34842,0gMr6,1r4k1/R4p1p/p5pP/1p2p1B1/8/KP1R4/P1r5/8 w - - 2 39,d3d7 b5b4 a3a4 c2a2,960,83,95,215,deflection endgame mate mateIn2 short,https://lichess.org/jBDyBK7R#77,
34846,0gNBi,6k1/5pp1/p4np1/1p2p1Q1/8/P1P5/1P1rqPPP/4R1K1 w - - 0 28,e1e2 d2d1 e2e1 d1e1,860,87,95,670,backRankMate endgame mate mateIn2 short,https://lichess.org/wFUhKdOb#55,
34863,0gOnm,8/1P5k/6p1/4b2p/P3P3/5P1P/r5P1/1R5K w - - 2 46,b1b4 a2a1 b4b1 a1b1,598,97,86,564,endgame mate mateIn2 short,https://lichess.org/gE3JeykW#91,
34872,0gPaq,bQ6/p4ppk/3p3p/2p5/5q2/1N3r2/PP4PP/R6K w - - 2 29,b8a8 f3f1 a1f1 f4f1,986,88,87,32,endgame mate mateIn2 short,https://lichess.org/06bZMllU#57,
34873,0gPlA,8/5Rp1/k1B2p1p/2K5/5n2/5P1P/3r4/8 b - - 0 39,d2g2 c6b5 a6a5 f7a7,1524,76,98,13134,endgame mate mateIn2 short,https://lichess.org/TSDStSXE/black#78,
34918,0gT41,r5k1/ppp2p1p/2nb2p1/3p2q1/3P4/2P3rB/PP1N1PK1/R2Q1RN1 w - - 0 19,f2g3 g5g3 g2h1 g3h2,1115,119,56,42,mate mateIn2 middlegame short,https://lichess.org/DQww9NLP#37,Indian_Defense Indian_Defense_Other_variations
34919,0gT6r,3r2k1/pp3ppp/4p1b1/1PR1P3/8/6P1/r4PBP/4R1K1 b - - 0 24,d8d2 c5c8 d2d8 c8d8,613,114,80,267,backRankMate endgame mate mateIn2 short,https://lichess.org/ejU3XuJr/black#48,
34926,0gTik,3R4/5ppk/7p/Q7/5q2/7P/1r3PP1/6K1 w - - 6 29,d8d1 f4f2 g1h2 f2g2,796,82,99,1213,endgame mate mateIn2 short,https://lichess.org/wL5Eoy4j#57,
34934,0gUOc,5b1k/pp5p/5Qp1/3P4/8/1P6/Pr5P/3q1BK1 b - - 1 32,f8g7 f6d8 g7f8 d8f8,919,74,97,1700,endgame mate mateIn2 short,https://lichess.org/5OePyjNb/black#64,
34944,0gVF0,4r2k/5qpp/8/5Q2/8/4R1PP/5P2/6K1 b - - 0 34,f7f5 e3e8 f5f8 e8f8,522,101,93,483,backRankMate endgame hangingPiece mate mateIn2 queenRookEndgame short,https://lichess.org/WwYysN57/black#68,
34961,0gX2j,r3r1k1/6pp/R3R3/8/b1PpQP2/3B2P1/7q/5K2 b - - 0 32,a8a6 e6e8 g8f7 e4e7,1455,76,73,101,mate mateIn2 middlegame short,https://lichess.org/a7s47Xaa/black#64,
34964,0gX9r,4r1k1/1b3ppp/p7/1ppq2P1/3p4/3P4/PPP2QPP/R1B3K1 w - - 0 21,b2b3 e8e1 f2e1 d5g2,1226,86,85,45,deflection endgame kingsideAttack mate mateIn2 sacrifice short,https://lichess.org/8c0wTf0j#41,
34974,0gXdp,r1b1k3/pp1p1p1n/2n1p3/2p5/2B1Pq2/P1PP2rp/1P3P1N/R2Q1RK1 w q - 0 17,f2g3 f4g3 g1h1 g3g2,1069,76,99,583,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/3nuYEyFZ#33,Sicilian_Defense Sicilian_Defense_Bowdler_Attack
34984,0gYOM,4Nn2/5pk1/1p4p1/2p5/q7/8/1P4B1/5QK1 b - - 3 37,g7h8 f1f6 h8g8 f6g7,1148,75,100,207,endgame mate mateIn2 short,https://lichess.org/BBNQaz9J/black#74,
34993,0gYza,8/8/3P2k1/1b6/5BK1/P3PP2/1P1N2P1/4n3 w - - 1 42,g2g3 b5d7 g4h4 e1g2,1194,77,75,192,endgame mate mateIn2 short,https://lichess.org/dOxiQFWy#83,
34994,0gZ7f,r3r2k/p1bn2p1/2b1n3/7p/4N3/2B1Q1Pq/PP3P2/R3R1K1 b - - 9 30,e6c5 e3h6 h8g8 h6g7,1674,74,96,4543,kingsideAttack mate mateIn2 middlegame pin short,https://lichess.org/kWGxPaG9/black#60,
35012,0gaS7,5rk1/5ppp/p3Q3/1p1Nn1P1/1P2P3/P5P1/6K1/5R2 b - - 0 34,f7e6 d5e7 g8h8 f1f8,961,88,100,25,backRankMate deflection endgame mate mateIn2 short,https://lichess.org/Kba3VoJx/black#68,
35020,0gb7M,1r6/1p5p/p5pk/3PQr2/7R/4P2K/P6P/4q3 b - - 7 34,f5h5 h4h5 g6h5 e5f6,1962,78,92,2015,endgame mate mateIn2 short,https://lichess.org/4MIbGLnj/black#68,
35023,0gbMl,4r1q1/1Q5p/8/pN3p1k/PP1P4/7n/5PP1/R2R2K1 w - - 0 37,g1f1 g8c4 d1d3 c4d3,985,79,94,505,mate mateIn2 middlegame short,https://lichess.org/JVte92fA#73,
35037,0gcb9,4k3/2p1rpp1/1pB3np/4p3/8/P2RP1P1/r4P1P/6K1 b - - 7 33,e8f8 d3d8 e7e8 d8e8,658,99,86,469,endgame mate mateIn2 short,https://lichess.org/FBvbDoQd/black#66,
35041,0gcnq,6rk/5pNp/p3p3/1n1p2R1/1p1P4/7P/Pr3PP1/2R3K1 b - - 0 27,g8g7 c1c8 g7g8 g5g8,996,262,86,6,endgame mate mateIn2 short,https://lichess.org/aLUhHfJM/black#54,
35052,0gdWC,1r4k1/1r1P1p1b/4p1pP/1Np1Qn2/p1P5/P1KP4/1P3q2/1R6 b - - 1 35,b7d7 e5b8 d7d8 b8d8,1347,76,75,238,hangingPiece mate mateIn2 middlegame short,https://lichess.org/Scg5QKjM/black#70,
35053,0gdYS,5rk1/p1p3p1/4pr1p/1P6/4q3/5P2/PP1R2PP/3R3K w - - 0 25,f3e4 f6f1 d1f1 f8f1,625,84,78,140,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/SQUqLNnt#49,
35064,0geHd,2r3k1/p2R1pp1/1p2p2p/8/8/qP3Q1P/5PPK/8 b - - 4 33,a7a5 f3f7 g8h8 f7g7,1114,81,88,64,endgame mate mateIn2 short,https://lichess.org/3fSrkmaw/black#66,
35067,0gehX,2r5/1Q5k/3b2p1/p7/Pp3P2/1P2n1qP/1B4P1/1R4K1 b - - 1 34,h7h6 b7g7 h6h5 g7h7,1388,76,87,1992,mate mateIn2 middlegame short,https://lichess.org/BU2vqtBi/black#68,
35068,0gemj,5k2/3n2pp/4p3/3p3Q/1Bp5/2P1P3/2q3PP/6K1 b - - 0 24,f8g8 h5e8 d7f8 e8f8,1119,173,75,17,endgame fork mate mateIn2 short,https://lichess.org/HDe0nHqk/black#48,
35085,0ggBq,5k2/8/p3pP1R/3pq1P1/3n3P/5B2/6K1/8 b - - 0 39,e5f4 h6h8 f8f7 f3h5,1174,75,99,3217,endgame mate mateIn2 short,https://lichess.org/NZ057ncE/black#78,
