,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
96602,1sRGp,r2q2k1/ppp3b1/2bp2Pp/5Q2/2P2P2/P4N2/1P3PP1/2K4R b - - 0 20,c6f3 f5f7 g8h8 h1h6 g7h6 f7h7,1287,82,87,133,endgame exposedKing kingsideAttack long mate mateIn3 sacrifice,https://lichess.org/tAkQSorQ/black#40,
96609,1sRSw,5r1k/p1p3pp/5r2/3QN3/8/8/P4qPP/2RR3K w - - 1 26,e5d7 f2f1 d1f1 f6f1 c1f1 f8f1,839,85,71,59,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/lvLRy4tW#51,
96612,1sRi8,2b3k1/1p1pn1p1/5r1p/p3Q3/3BP3/4R3/P2q1PPP/4R1K1 w - - 5 24,e5e7 d2f2 g1h1 f2f1 e1f1 f6f1,1138,75,93,1744,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/5o8RjSeW#47,
96666,1sV2D,3k3r/1p6/p1p1p3/2P5/1P2RRp1/P3P1P1/7r/6K1 w - - 0 36,f4g4 h2h1 g1g2 h8h2 g2f3 h1f1,949,142,63,19,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/dmccVCrS#71,
96689,1sX55,7R/4R1p1/5n1p/8/6P1/3N2kP/r4r2/6K1 w - - 3 35,d3f2 a2a1 f2d1 a1d1 e7e1 d1e1,1435,77,85,117,endgame exposedKing long mate mateIn3,https://lichess.org/HOdCkbxJ#69,
96744,1sbXU,4r1k1/p1p2ppp/8/8/8/2q1B1Q1/Pr3PPP/2R3K1 w - - 0 23,c1c3 b2b1 c3c1 b1c1 e3c1 e8e1,835,83,78,179,backRankMate endgame long mate mateIn3,https://lichess.org/TKyDQzDn#45,
96752,1scJk,3r2k1/2pq1ppp/1bp5/2n1p3/4P3/2PP1RP1/QP5P/3R3K b - - 0 21,d7g4 a2f7 g8h8 f7f8 d8f8 f3f8,838,88,95,1307,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/djWYRLeI/black#42,
96765,1seB3,6k1/5pp1/3q3p/p7/1p6/5QPP/P3RP1K/2r5 b - - 2 33,d6d1 e2e8 g8h7 f3f5 g7g6 f5f7,1585,114,85,47,endgame long mate mateIn3,https://lichess.org/tR3QKbuv/black#66,
96776,1sf9e,r1b3k1/1pq3pp/4p3/3pb2N/p1p5/2P5/PP2BQPP/5R1K b - - 3 26,c8d7 f2f7 g8h8 f7f8 a8f8 f1f8,1175,75,88,351,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/4sX8EoRy/black#52,
96784,1sfet,5rk1/5Qpp/8/R2Bp1b1/2rqP3/8/5PPP/5RK1 b - - 0 27,f8f7 a5a8 c4c8 a8c8 g5d8 c8d8,1353,85,71,56,long mate mateIn3 middlegame pin,https://lichess.org/a7Oa8bpw/black#54,
96821,1si7v,3r2k1/ppR2p2/3p1q1p/5Np1/Q3P3/1P1n4/P4PPP/3R2K1 w - - 3 25,d1d3 f6a1 c7c1 a1c1 d3d1 c1d1,545,86,96,1305,backRankMate endgame long mate mateIn3,https://lichess.org/xX533r8n#49,
